"month","flat_type","block","street_name","storey_range","Floor_Range","floor_area_sqm","lease_commence_date","remaining_lease","Total_Months","resale_price","Flag_for_floor_range","Flag_for_total_months"
"2020-04","5 ROOM","194","BISHAN ST 13","07 TO 09","7","121","1987","66 years 02 months","792","770000","2","1"
"2020-04","EXECUTIVE","186","BISHAN ST 13","10 TO 12","10","146","1987","66 years 05 months","792","925000","2","1"
"2020-05","4 ROOM","154","BISHAN ST 13","07 TO 09","7","84","1987","66 years 08 months","792","425000","2","1"
"2020-05","4 ROOM","267","BISHAN ST 24","04 TO 06","4","104","1992","71 years 04 months","852","555000","1","1"
"2020-06","3 ROOM","132","BISHAN ST 12","01 TO 03","1","70","1987","65 years 08 months","780","363000","1","1"
"2020-06","3 ROOM","110","BISHAN ST 12","07 TO 09","7","64","1986","64 years 09 months","768","412800","2","1"
"2020-06","3 ROOM","22","SIN MING RD","10 TO 12","10","67","1973","52 years 06 months","624","216000","2","0"
"2020-06","3 ROOM","23","SIN MING RD","10 TO 12","10","65","1973","52 years 05 months","624","250000","2","0"
"2020-06","4 ROOM","139","BISHAN ST 12","01 TO 03","1","103","1988","67 years 04 months","804","468000","1","1"
"2020-06","4 ROOM","142","BISHAN ST 12","04 TO 06","4","103","1988","67 years 05 months","804","457000","1","1"
"2020-06","4 ROOM","140","BISHAN ST 12","04 TO 06","4","104","1988","67 years 04 months","804","507000","1","1"
"2020-06","4 ROOM","138","BISHAN ST 12","07 TO 09","7","84","1987","66 years 02 months","792","475000","2","1"
"2020-06","4 ROOM","178","BISHAN ST 13","04 TO 06","4","103","1987","66 years 06 months","792","550000","1","1"
"2020-06","4 ROOM","171","BISHAN ST 13","07 TO 09","7","84","1988","66 years 07 months","792","480000","2","1"
"2020-06","4 ROOM","292","BISHAN ST 22","01 TO 03","1","102","1998","77 years 02 months","924","575000","1","1"
"2020-06","4 ROOM","259","BISHAN ST 22","04 TO 06","4","104","1992","71 years 04 months","852","568000","1","1"
"2020-06","4 ROOM","263","BISHAN ST 22","10 TO 12","10","104","1992","71 years 03 months","852","575000","2","1"
"2020-06","4 ROOM","254","BISHAN ST 22","13 TO 15","13","116","1992","71 years 03 months","852","635000","3","1"
"2020-06","4 ROOM","233","BISHAN ST 22","07 TO 09","7","105","1992","70 years 11 months","840","590000","2","1"
"2020-06","4 ROOM","217","BISHAN ST 23","04 TO 06","4","107","1992","71 years","852","510000","1","1"
"2020-06","4 ROOM","224","BISHAN ST 23","19 TO 21","19","102","1992","71 years 03 months","852","638000","3","1"
"2020-06","4 ROOM","210","BISHAN ST 23","01 TO 03","1","107","1992","70 years 11 months","840","475000","1","1"
"2020-06","4 ROOM","271","BISHAN ST 24","04 TO 06","4","104","1992","71 years 04 months","852","555000","1","1"
"2020-06","4 ROOM","287","BISHAN ST 24","04 TO 06","4","107","1992","71 years 04 months","852","510000","1","1"
"2020-06","4 ROOM","273A","BISHAN ST 24","07 TO 09","7","95","2011","90 years 05 months","1080","815000","2","1"
"2020-06","4 ROOM","286","BISHAN ST 24","13 TO 15","13","108","1992","71 years 03 months","852","692888","3","1"
"2020-06","4 ROOM","273A","BISHAN ST 24","34 TO 36","34","95","2011","90 years 03 months","1080","910000","3","1"
"2020-06","4 ROOM","446","BRIGHT HILL DR","04 TO 06","4","110","1990","69 years","828","507000","1","1"
"2020-06","4 ROOM","302","SHUNFU RD","01 TO 03","1","100","1984","63 years 06 months","756","567500","1","1"
"2020-06","4 ROOM","441","SIN MING AVE","04 TO 06","4","105","1990","68 years 11 months","816","555000","1","1"
"2020-06","4 ROOM","407","SIN MING AVE","07 TO 09","7","89","1986","65 years 03 months","780","535000","2","1"
"2020-06","4 ROOM","406","SIN MING AVE","07 TO 09","7","84","1987","66 years","792","473000","2","1"
"2020-06","5 ROOM","101","BISHAN ST 12","10 TO 12","10","121","1987","65 years 08 months","780","723000","2","1"
"2020-06","5 ROOM","166","BISHAN ST 13","01 TO 03","1","122","1987","66 years 08 months","792","590000","1","1"
"2020-06","5 ROOM","179","BISHAN ST 13","10 TO 12","10","121","1987","66 years 04 months","792","833800","2","1"
"2020-06","5 ROOM","165","BISHAN ST 13","07 TO 09","7","121","1988","67 years 03 months","804","678000","2","1"
"2020-06","5 ROOM","273A","BISHAN ST 24","19 TO 21","19","120","2011","90 years 04 months","1080","1070000","3","1"
"2020-06","5 ROOM","275A","BISHAN ST 24","07 TO 09","7","120","2011","90 years 04 months","1080","970000","2","1"
"2020-06","5 ROOM","447","BRIGHT HILL DR","16 TO 18","16","120","1990","68 years 08 months","816","700000","3","1"
"2020-06","5 ROOM","402","SIN MING AVE","13 TO 15","13","120","1986","64 years 08 months","768","690000","3","1"
"2020-06","EXECUTIVE","186","BISHAN ST 13","04 TO 06","4","146","1987","66 years 04 months","792","930000","1","1"
"2020-06","EXECUTIVE","237","BISHAN ST 22","04 TO 06","4","141","1992","71 years","852","870000","1","1"
"2020-06","EXECUTIVE","257","BISHAN ST 22","07 TO 09","7","148","1992","71 years 02 months","852","740000","2","1"
